Failas output1.txt analizė:
Pozicija 1: Unikalių simbolių: 15, Didžiausias pasikartojimo dažnis: 7.344%, Mažiausias pasikartojimo dažnis: 5.893%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=57.20%, b1=53.15%, b2=53.07%, b3=52.72%
Pozicija 3: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.10%, Mažiausias pasikartojimo dažnis: 0.34%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=55.39%, b1=52.52%, b2=53.12%, b3=52.92%
Pozicija 4: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.43%, Mažiausias pasikartojimo dažnis: 5.62%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.49%, b1=50.21%, b2=50.45%, b3=50.59%
Pozicija 5: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.01%, Mažiausias pasikartojimo dažnis: 0.65%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.35%, b1=52.28%, b2=52.91%, b3=52.77%
Pozicija 6: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.58%, Mažiausias pasikartojimo dažnis: 5.32%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=49.74%, b1=50.50%, b2=50.40%, b3=50.80%
Pozicija 7: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.99%, Mažiausias pasikartojimo dažnis: 0.84%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.90%, b1=52.77%, b2=52.68%, b3=53.21%
Pozicija 8: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.63%, Mažiausias pasikartojimo dažnis: 5.08%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.62%, b1=50.69%, b2=50.95%, b3=50.88%
Pozicija 9: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 1.09%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.24%, b1=52.81%, b2=53.06%, b3=53.11%
Pozicija 10: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.53%, Mažiausias pasikartojimo dažnis: 4.77%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.50%, b1=50.84%, b2=50.69%, b3=51.10%
Pozicija 11: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.21%, Mažiausias pasikartojimo dažnis: 1.29%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.69%, b1=52.45%, b2=52.22%, b3=52.32%
Pozicija 12: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.55%, Mažiausias pasikartojimo dažnis: 4.71%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.34%, b1=50.78%, b2=50.99%, b3=50.44%
Pozicija 13: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.93%, Mažiausias pasikartojimo dažnis: 1.59%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.36%, b1=51.85%, b2=52.58%, b3=52.69%
Pozicija 14: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.57%, Mažiausias pasikartojimo dažnis: 4.45%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.51%, b1=50.83%, b2=51.09%, b3=51.27%
Pozicija 15: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.83%, Mažiausias pasikartojimo dažnis: 1.68%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.04%, b1=52.16%, b2=52.46%, b3=52.43%
Pozicija 16: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.59%, Mažiausias pasikartojimo dažnis: 4.23%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.74%, b1=51.11%, b2=50.88%, b3=51.04%
Pozicija 17: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.80%, Mažiausias pasikartojimo dažnis: 1.87%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.00%, b1=52.05%, b2=52.25%, b3=51.97%
Pozicija 18: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.59%, Mažiausias pasikartojimo dažnis: 4.12%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.79%, b1=51.21%, b2=51.11%, b3=51.13%
Pozicija 19: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.91%, Mažiausias pasikartojimo dažnis: 1.90%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.02%, b1=52.09%, b2=52.10%, b3=52.25%
Pozicija 20: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 3.98%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.13%, b1=50.82%, b2=50.98%, b3=50.94%
Pozicija 21: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.93%, Mažiausias pasikartojimo dažnis: 2.05%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.23%, b1=52.14%, b2=52.01%, b3=51.89%
Pozicija 22: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.66%, Mažiausias pasikartojimo dažnis: 3.98%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.27%, b1=51.09%, b2=51.20%, b3=51.50%
Pozicija 23: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.97%, Mažiausias pasikartojimo dažnis: 2.10%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.02%, b1=51.74%, b2=51.97%, b3=52.22%
Pozicija 24: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.61%, Mažiausias pasikartojimo dažnis: 3.80%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.72%, b1=51.11%, b2=51.59%, b3=51.14%
Pozicija 25: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.76%, Mažiausias pasikartojimo dažnis: 2.21%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.79%, b1=52.35%, b2=52.26%, b3=52.19%
Pozicija 26: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 3.56%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.91%, b1=51.53%, b2=51.50%, b3=51.34%
Pozicija 27: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 2.39%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.51%, b1=51.80%, b2=51.89%, b3=51.97%
Pozicija 28: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.68%, Mažiausias pasikartojimo dažnis: 3.71%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.82%, b1=51.13%, b2=51.64%, b3=51.23%
Pozicija 29: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.87%, Mažiausias pasikartojimo dažnis: 2.40%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.10%, b1=51.59%, b2=51.84%, b3=52.17%
Pozicija 30: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.65%, Mažiausias pasikartojimo dažnis: 3.66%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.67%, b1=51.26%, b2=51.24%, b3=51.40%
Pozicija 31: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.71%, Mažiausias pasikartojimo dažnis: 2.51%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.71%, b1=51.74%, b2=52.04%, b3=52.11%
Pozicija 32: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.76%, Mažiausias pasikartojimo dažnis: 3.50%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.64%, b1=51.37%, b2=51.66%, b3=51.91%
Pozicija 33: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 2.59%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.09%, b1=51.93%, b2=51.84%, b3=52.10%
Pozicija 34: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.70%, Mažiausias pasikartojimo dažnis: 3.46%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.90%, b1=51.35%, b2=51.27%, b3=51.62%
Pozicija 35: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.97%, Mažiausias pasikartojimo dažnis: 2.53%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.63%, b1=51.61%, b2=51.99%, b3=51.54%
Pozicija 36: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 3.37%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.88%, b1=50.87%, b2=51.71%, b3=51.27%
Pozicija 37: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.72%, Mažiausias pasikartojimo dažnis: 2.66%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.89%, b1=51.93%, b2=51.80%, b3=51.81%
Pozicija 38: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.64%, Mažiausias pasikartojimo dažnis: 3.33%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.04%, b1=51.41%, b2=51.83%, b3=51.69%
Pozicija 39: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 2.65%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.67%, b1=51.80%, b2=51.97%, b3=52.13%
Pozicija 40: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 3.31%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.17%, b1=51.40%, b2=51.44%, b3=51.65%
Pozicija 41: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.72%, Mažiausias pasikartojimo dažnis: 2.72%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.12%, b1=51.83%, b2=51.98%, b3=51.96%
Pozicija 42: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.78%, Mažiausias pasikartojimo dažnis: 3.28%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.53%, b1=51.81%, b2=51.71%, b3=51.40%
Pozicija 43: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.82%, Mažiausias pasikartojimo dažnis: 2.76%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.47%, b1=51.62%, b2=52.16%, b3=51.65%
Pozicija 44: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.75%, Mažiausias pasikartojimo dažnis: 3.19%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.15%, b1=51.61%, b2=51.58%, b3=51.40%
Pozicija 45: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.84%, Mažiausias pasikartojimo dažnis: 2.77%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.07%, b1=51.70%, b2=51.78%, b3=51.86%
Pozicija 46: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.61%, Mažiausias pasikartojimo dažnis: 3.39%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.77%, b1=51.52%, b2=51.43%, b3=51.47%
Pozicija 47: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.71%, Mažiausias pasikartojimo dažnis: 2.82%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.96%, b1=51.67%, b2=51.86%, b3=51.80%
Pozicija 48: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.63%, Mažiausias pasikartojimo dažnis: 3.32%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.95%, b1=51.51%, b2=51.79%, b3=51.61%
Pozicija 49: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.82%, Mažiausias pasikartojimo dažnis: 2.75%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.15%, b1=51.69%, b2=52.03%, b3=51.81%
Pozicija 50: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.84%, Mažiausias pasikartojimo dažnis: 3.12%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.03%, b1=51.23%, b2=51.62%, b3=51.94%
Pozicija 51: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.70%, Mažiausias pasikartojimo dažnis: 2.76%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.03%, b1=51.77%, b2=51.78%, b3=51.57%
Pozicija 52: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.80%, Mažiausias pasikartojimo dažnis: 3.15%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.18%, b1=51.35%, b2=51.41%, b3=51.59%
Pozicija 53: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.85%, Mažiausias pasikartojimo dažnis: 2.88%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.27%, b1=51.44%, b2=51.80%, b3=51.65%
Pozicija 54: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 3.20%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.03%, b1=51.61%, b2=51.55%, b3=51.63%
Pozicija 55: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 3.02%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.39%, b1=51.44%, b2=51.88%, b3=51.74%
Pozicija 56: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.78%, Mažiausias pasikartojimo dažnis: 3.20%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.78%, b1=51.20%, b2=51.65%, b3=51.75%
Pozicija 57: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.83%, Mažiausias pasikartojimo dažnis: 2.99%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.16%, b1=51.25%, b2=51.96%, b3=51.35%
Pozicija 58: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.68%, Mažiausias pasikartojimo dažnis: 3.20%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.44%, b1=51.15%, b2=51.49%, b3=51.53%
Pozicija 59: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.69%, Mažiausias pasikartojimo dažnis: 2.88%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.69%, b1=51.58%, b2=51.63%, b3=51.99%
Pozicija 60: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.64%, Mažiausias pasikartojimo dažnis: 3.11%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.63%, b1=51.52%, b2=51.59%, b3=51.50%
Pozicija 61: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.82%, Mažiausias pasikartojimo dažnis: 2.96%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.69%, b1=51.42%, b2=51.86%, b3=51.78%
Pozicija 62: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.73%, Mažiausias pasikartojimo dažnis: 3.11%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.66%, b1=51.42%, b2=51.61%, b3=51.52%
Pozicija 63: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 2.88%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.85%, b1=51.50%, b2=52.08%, b3=51.43%
Pozicija 64: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.62%, Mažiausias pasikartojimo dažnis: 3.24%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.16%, b1=51.41%, b2=51.40%, b3=51.53%

Vidurkiai failui output4:
Avg Unikalių simbolių: 15.98
Avg Didžiausias pasikartojimo dažnis (%): 6.76
Avg Mažiausias pasikartojimo dažnis (%): 3.10
Avg Nepasikartojančių simbolių: 0.00
Avg bitu pasiskirstymas (MSB..LSB) per faila: b0=52.73%, b1=51.54%, b2=51.73%, b3=51.70%

